one,two,three,four,five
1328,灰尘,huī chén,"1. dust
",12
1329,灰心,huī xīn,"1. to lose heart
2. to be discouraged
",11
1330,灵活,líng huó,"1. flexible
2. nimble
3. agile
",22
1331,灾害,zāi hài,"1. calamity
2. disaster
3. CL:個|个[ge4]
",14
1332,灿烂,càn làn,"1. to glitter
2. brilliant
3. splendid
",44
1333,炊烟,chuī yān,"1. smoke from kitchen chimneys
",11
1334,炒,chǎo,"1. to sauté
2. to stir-fry
3. to speculate
4. to hype
5. to fire (sb)
",3
1335,点,diǎn,"1. point
2. dot
3. drop
4. speck
5. o'clock
6. point (in space or time)
7. to draw a dot
8. to check on a list
9. to choose
10. to order (food in a restaurant)
11. to touch briefly
12. to hint
13. to light
14. to ignite
15. to pour a liquid drop by drop
16. (old) one fifth of a two-hour watch 更[geng1]
17. dot stroke in Chinese characters
18. classifier for items
",3
1336,点心,diǎn xin,"1. light refreshments
2. pastry
3. dimsum (in Cantonese cooking)
4. dessert
",30
1337,点缀,diǎn zhuì,"1. to decorate
2. to adorn
3. sprinkled
4. studded
5. only for show
",34
1338,烂,làn,"1. soft
2. mushy
3. well-cooked and soft
4. to rot
5. to decompose
6. rotten
7. worn out
8. chaotic
9. messy
10. utterly
11. thoroughly
12. crappy
13. bad
",4
1339,烫,tàng,"1. to scald
2. to burn (by scalding)
3. to blanch (cooking)
4. to heat (sth) up in hot water
5. to perm
6. to iron
7. scalding hot
",4
1340,热心,rè xīn,"1. enthusiasm
2. zeal
3. zealous
4. zest
5. enthusiastic
6. ardent
7. warmhearted
",41
1341,热烈,rè liè,"1. enthusiastic
2. ardent
3. warm
",44
1342,热爱,rè ài,"1. to love ardently
2. to adore
",44
1343,热闹,rè nao,"1. bustling with noise and excitement
2. lively
",40
1344,然而,rán ér,"1. however
2. yet
3. but
",22
1345,煤炭,méi tàn,"1. coal
",24
1346,照,zhào,"1. variant of 照[zhao4]
2. to shine
3. to illuminate
4. according to
5. in accordance with
6. to shine
7. to illuminate
8. to reflect
9. to look at (one's reflection)
10. to take (a photo)
11. photo
12. as requested
13. as before
",4
1347,照常,zhào cháng,"1. as usual
",42
1348,煮,zhǔ,"1. variant of 煮[zhu3]
2. to cook
3. to boil
",3
1349,熟悉,shú xī,"1. to be familiar with
2. to know well
",21
1350,熟练,shú liàn,"1. practiced
2. proficient
3. skilled
4. skillful
",24
1351,熬,áo,"1. to boil
2. to simmer
3. to cook on a slow fire
4. to extract by heating
5. to decoct
6. to endure
",2
1352,熬夜,áo yè,"1. to stay up late or all night
",24
1353,燃烧,rán shāo,"1. to ignite
2. to combust
3. to burn
4. combustion
5. flaming
",21
1354,爆发,bào fā,"1. to break out
2. to erupt
3. to explode
4. to burst out
",41
1355,爆炸,bào zhà,"1. explosion
2. to explode
3. to blow up
4. to detonate
",44
1356,爱,ài,"1. to love
2. affection
3. to be fond of
4. to like
",4
1357,爱心,ài xīn,"1. compassion
2. kindness
3. care for others
4. love
5. CL:片[pian4]
6. charity (bazaar, golf day etc)
7. heart (the symbol ?)
",41
1358,爱惜,ài xī,"1. to cherish
2. to treasure
3. to use sparingly
",41
1359,爱戴,ài dài,"1. to love and respect
2. love and respect
",44
1360,爱护,ài hù,"1. to cherish
2. to treasure
3. to take care of
4. to love and protect
",44
1361,片,piàn,"1. disk
2. sheet
3. thin piece
4. flake
5. a slice
6. film
7. TV play
8. to slice
9. to carve thin
10. partial
11. incomplete
12. one-sided
13. classifier for slices, tablets, tract of land, area of water
14. classifier for CDs, movies, DVDs etc
15. used with numeral 一[yi1]: classifier for scenario, scene, feeling, atmosphere, sound etc
",4
1362,片面,piàn miàn,"1. unilateral
2. one-sided
",44
1363,版本,bǎn běn,"1. version
2. edition
3. release
",33
1364,牙膏,yá gāo,"1. toothpaste
2. CL:管[guan3]
",21
1365,牙齿,yá chǐ,"1. tooth
2. dental
3. CL:顆|颗[ke1]
",23
1366,物理,wù lǐ,"1. physics
2. physical
",43
1367,物质,wù zhì,"1. matter
2. substance
3. material
4. materialistic
5. CL:個|个[ge4]
",44
1368,特征,tè zhēng,"1. characteristic
2. diagnostic property
3. distinctive feature
4. trait
",41
1369,特殊,tè shū,"1. special
2. particular
3. unusual
4. extraordinary
",41
1370,特点,tè diǎn,"1. characteristic (feature)
2. trait
3. feature
4. CL:個|个[ge4]
",43
1371,特色,tè sè,"1. characteristic
2. distinguishing feature or quality
",44
1372,状况,zhuàng kuàng,"1. condition
2. state
3. situation
4. CL:個|个[ge4]
",44
1373,状态,zhuàng tài,"1. state of affairs
2. state
3. mode
4. situation
5. CL:個|个[ge4]
",44
1374,犹豫,yóu yù,"1. to hesitate
",24
1375,狗,gǒu,"1. dog
2. CL:隻|只[zhi1],條|条[tiao2]
",3
1376,狡猾,jiǎo huá,"1. crafty
2. cunning
3. sly
",32
1377,独特,dú tè,"1. unique
2. distinct
3. having special characteristics
",24
1378,独立,dú lì,"1. independent
2. independence
3. to stand alone
",24
1379,独裁,dú cái,"1. dictatorship
",22
1380,狮子,shī zi,"1. Leo (star sign)
2. Shihtzu township in Pingtung County 屏東縣|屏东县[Ping2 dong1 Xian4], Taiwan
3. lion
4. CL:隻|只[zhi1],頭|头[tou2]
",10
1381,猪,zhū,"1. hog
2. pig
3. swine
4. CL:口[kou3],頭|头[tou2]
",1
1382,猫,māo,"1. cat
2. CL:隻|只[zhi1]
3. (dialect) to hide oneself
4. (coll.) modem
",1
1383,猴子,hóu zi,"1. monkey
2. CL:隻|只[zhi1]
",20
1384,玉米,yù mǐ,"1. corn
2. maize
3. CL:粒[li4]
",43
1385,王子,wáng zǐ,"1. prince
2. son of a king
",23
1386,玩具,wán jù,"1. plaything
2. toy
",24
1387,现代,xiàn dài,"1. Hyundai, South Korean company
2. modern times
3. modern age
4. modern era
",44
1388,现实,xiàn shí,"1. reality
2. actuality
3. real
4. actual
5. realistic
",42
1389,现象,xiàn xiàng,"1. appearance
2. phenomenon
3. CL:個|个[ge4],種|种[zhong3]
",44
1390,现金,xiàn jīn,"1. cash
",41
1391,玻璃,bō li,"1. glass
2. CL:張|张[zhang1],塊|块[kuai4]
3. (slang) male homosexual
",10
1392,珍惜,zhēn xī,"1. to treasure
2. to value
3. to cherish
",11
1393,球迷,qiú mí,"1. fan (ball sports)
2. CL:個|个[ge4]
",22
1394,理由,lǐ yóu,"1. reason
2. grounds
3. justification
4. CL:個|个[ge4]
",32
1395,理论,lǐ lùn,"1. theory
2. CL:個|个[ge4]
3. to argue
4. to take notice of
",34
1396,甚至,shèn zhì,"1. even
2. so much so that
",44
1397,生产,shēng chǎn,"1. to produce
2. to manufacture
3. to give birth to a child
",13
1398,生动,shēng dòng,"1. vivid
2. lively
",14
1399,生命,shēng mìng,"1. life
2. living
3. biological
4. CL:個|个[ge4]
",14
1400,生意,shēng yì,"1. life force
2. vitality
3. business
4. CL:筆|笔[bi3]
",14
1401,生活,shēng huó,"1. life
2. activity
3. to live
4. livelihood
",12
1402,生长,shēng zhǎng,"1. to grow
",13
1403,用功,yòng gōng,"1. diligent
2. industrious (in one's studies)
3. to study hard
4. to make great effort
",41
1404,用途,yòng tú,"1. use
2. application
",42
1405,甩,shuǎi,"1. to throw
2. to fling
3. to swing
4. to leave behind
5. to throw off
6. to dump (sb)
",3
1406,甭,béng,"1. need not
2. (contraction of 不 and 用)
",2
1407,由,yóu,"1. to follow
2. from
3. it is for...to
4. reason
5. cause
6. because of
7. due to
8. to
9. to leave it (to sb)
10. by (introduces passive verb)
",2
1408,由于,yóu yú,"1. due to
2. as a result of
3. thanks to
4. owing to
5. since
6. because
",22
1409,甲,jiǎ,"1. first of the ten Heavenly Stems 十天干[shi2 tian1 gan1]
2. (used for an unspecified person or thing)
3. first (in a list, as a party to a contract etc)
4. letter ""A"" or roman ""I"" in list ""A, B, C"", or ""I, II, III"" etc
5. armor plating
6. shell or carapace
7. (of the fingers or toes) nail
8. bladed leather or metal armor (old)
9. ranking system used in the Imperial examinations (old)
10. civil administration unit (old)
11. ancient Chinese compass point: 75°
",3
1410,电台,diàn tái,"1. transmitter-receiver
2. broadcasting station
3. radio station
4. CL:個|个[ge4],家[jia1]
",42
1411,电影,diàn yǐng,"1. movie
2. film
3. CL:部[bu4],片[pian4],幕[mu4],場|场[chang3]
",43
1412,电池,diàn chí,"1. battery
2. CL:節|节[jie2],組|组[zu3]
",42
1413,电源,diàn yuán,"1. electric power source
",42
1414,电脑,diàn nǎo,"1. computer
2. CL:臺|台[tai2]
",43
1415,电视,diàn shì,"1. television
2. TV
3. CL:臺|台[tai2],個|个[ge4]
",44
1416,畅通,chàng tōng,"1. unimpeded
2. free-flowing
3. straight path
4. unclogged
5. move without obstruction
",41
1417,畅销,chàng xiāo,"1. to sell well
2. best seller
3. chart-topping
",41
1418,番,fān,"1. surname Pan
2. foreign country
3. foreigner
4. foreign (non-Chinese)
5. barbarian
6. classifier for occurrences (of an action or deed)
7. -fold (as in twofold etc)
8. kind
9. sort
",1
1419,疑问,yí wèn,"1. question
2. interrogation
3. doubt
",24
1420,疤,bā,"1. scar
2. scab
",1
1421,疯狂,fēng kuáng,"1. crazy
2. frantic
3. extreme popularity
",12
1422,疲劳,pí láo,"1. fatigue
2. wearily
3. weariness
4. weary
",22
1423,疼爱,téng ài,"1. to love dearly
",24
1424,病毒,bìng dú,"1. virus
",42
1425,痒,yǎng,"1. variant of 癢|痒[yang3]
2. to itch
3. to tickle
4. to itch
5. to tickle
",3
1426,痛快,tòng kuài,"1. delighted
2. to one's heart's content
3. straightforward
4. also pr. [tong4 kuai5]
",44
1427,痛苦,tòng kǔ,"1. pain
2. suffering
3. painful
4. CL:個|个[ge4]
",43
1428,癌症,ái zhèng,"1. cancer
",24
1429,登录,dēng lù,"1. to register
2. to log in
",14
1430,登记,dēng jì,"1. to register (one's name)
",14
1431,登陆,dēng lù,"1. to land
2. to come ashore
3. to make landfall (of typhoon etc)
4. to log in
",14
1432,的,de,"1. of
2. ~'s (possessive particle)
3. (used after an attribute)
4. (used to form a nominal expression)
5. (used at the end of a declarative sentence for emphasis)
6. see 的士[di1 shi4]
7. really and truly
8. aim
9. clear
",0
1433,的确,dí què,"1. really
2. indeed
",24
1434,盆,pén,"1. basin
2. flower pot
3. unit of volume equal to 12 斗 and 8 升, approx 128 liters
4. CL:個|个[ge4]
",2
1435,盐,yán,"1. salt
2. CL:粒[li4]
",2
1436,盖,gài,"1. surname Ge
2. lid
3. top
4. cover
5. canopy
6. to cover
7. to conceal
8. to build
",4
1437,盗窃,dào qiè,"1. to steal
",44
1438,盛,Shèng,"1. surname Sheng
2. to hold
3. to contain
4. to ladle
5. to pick up with a utensil
6. flourishing
7. vigorous
8. magnificent
9. extensively
",4
1439,目前,mù qián,"1. at the present time
2. currently
",42
1440,目录,mù lù,"1. catalog
2. table of contents
3. directory (on computer hard drive)
4. list
5. contents
",44
1441,目标,mù biāo,"1. target
2. goal
3. objective
4. CL:個|个[ge4]
",41
1442,盯,dīng,"1. to watch attentively
2. to fix one's attention on
3. to stare at
4. to gaze at
",1
1443,直,zhí,"1. surname Zhi
2. Zhi (c. 2000 BC), fifth of the legendary Flame Emperors 炎帝[Yan2 di4] descended from Shennong 神農|神农[Shen2 nong2] Farmer God
3. straight
4. to straighten
5. fair and reasonable
6. frank
7. straightforward
8. (indicates continuing motion or action)
9. vertical
10. vertical downward stroke in Chinese characters
",2
1444,直接,zhí jiē,"1. direct
2. opposite: indirect 間接|间接
3. immediate
4. directly
5. straightforward
",21
1445,相似,xiāng sì,"1. to resemble
2. similar
3. like
4. resemblance
5. similarity
",14
1446,相关,xiāng guān,"1. related
2. relevant
3. pertinent
4. to be interrelated
5. (statistics) correlation
",11
1447,相反,xiāng fǎn,"1. opposite
2. contrary
",13
1448,相同,xiāng tóng,"1. identical
2. same
",12
1449,相处,xiāng chǔ,"1. to be in contact (with sb)
2. to associate
3. to interact
4. to get along (well, poorly)
",13
1450,相对,xiāng duì,"1. relatively
2. opposite
3. to resist
4. to oppose
5. relative
6. vis-a-vis
7. counterpart
",14
1451,相当,xiāng dāng,"1. equivalent to
2. appropriate
3. considerably
4. to a certain extent
5. fairly
6. quite
",11
1452,盼望,pàn wàng,"1. to hope for
2. to look forward to
",44
1453,省,shěng,"1. to save
2. to economize
3. to do without
4. to omit
5. to leave out
6. province
7. CL:個|个[ge4]
8. to inspect
9. to examine
10. to be aware
11. to pay a visit (to one's parents or elders)
",3
1454,省略,shěng lüè,"1. to leave out
2. an omission
",34
1455,眉毛,méi mao,"1. eyebrow
2. CL:根[gen1]
",20
1456,看不起,kàn bu qǐ,"1. to look down upon
2. to despise
",403
1457,看望,kàn wàng,"1. to visit
2. to pay a call to
",44
1458,真实,zhēn shí,"1. true
2. real
",12
1459,真正,zhēn zhèng,"1. genuine
2. real
3. true
4. genuinely
",14
1460,眼镜,yǎn jìng,"1. spectacles
2. eyeglasses
3. CL:副[fu4]
",34
1461,着凉,zháo liáng,"1. to catch cold
2. Taiwan pr. [zhao1 liang2]
",22
1462,着火,zháo huǒ,"1. to ignite
2. to burn
",23
1463,睁,zhēng,"1. to open (one's eyes)
",1
1464,督促,dū cù,"1. to supervise and urge completion of a task
2. to urge on
",14
1465,瞎,xiā,"1. blind
2. groundlessly
3. foolishly
4. to no purpose
",1
1466,瞧,qiáo,"1. to look at
2. to see
3. to see (a doctor)
4. to visit
",2
1467,瞪,dèng,"1. to open (one's eyes) wide
2. to stare at
3. to glare at
",4
1468,矛盾,máo dùn,"1. contradiction
2. CL:個|个[ge4]
3. conflicting views
4. contradictory
",24
1469,知识,zhī shi,"1. knowledge
2. CL:門|门[men2]
3. intellectual
",10
1470,短促,duǎn cù,"1. short in time
2. fleeting
3. brief
4. gasping (breath)
5. curt (tone of voice)
",34
1471,石头,shí tou,"1. stone
2. CL:塊|块[kuai4]
",20
1472,砍,kǎn,"1. to chop
2. to cut down
3. to throw sth at sb
",3
1473,研究,yán jiū,"1. research
2. a study
3. CL:項|项[xiang4]
",21
1474,破,pò,"1. broken
2. damaged
3. worn out
4. lousy
5. rotten
6. to break, split or cleave
7. to get rid of
8. to destroy
9. to break with
10. to defeat
11. to capture (a city etc)
12. to expose the truth of
",4
1475,破产,pò chǎn,"1. to go bankrupt
2. to become impoverished
3. bankruptcy
",43
1476,破坏,pò huài,"1. destruction
2. damage
3. to wreck
4. to break
5. to destroy
",44
1477,硕士,shuò shì,"1. master's degree
2. person who has a master's degree
3. learned person
",44
1478,硬,yìng,"1. hard
2. stiff
3. strong
4. firm
5. resolutely
6. doggedly
7. good (quality)
8. able (person)
",4
1479,硬件,yìng jiàn,"1. hardware
",44
1480,确定,què dìng,"1. definite
2. certain
3. fixed
4. to fix (on sth)
5. to determine
6. to be sure
7. to ensure
8. to make certain
9. to ascertain
10. to clinch
11. to recognize
12. to confirm
13. OK (on computer dialog box)
",44
1481,确实,què shí,"1. indeed
2. really
3. reliable
4. real
5. true
",42
1482,确认,què rèn,"1. to confirm
2. to verify
3. confirmation
",44
1483,碎,suì,"1. to break down
2. to break into pieces
3. fragmentary
",4
1484,碰,pèng,"1. variant of 碰[peng4]
2. to touch
3. to meet with
4. to bump
5. old variant of 碰[peng4]
",4
1485,磁带,cí dài,"1. magnetic tape
2. CL:盤|盘[pan2],盒[he2]
",24
1486,磅,bàng,"1. see 磅秤 scale
2. platform balance
3. (loanword) pound (unit of weight, about 454 grams)
",4
1487,磋商,cuō shāng,"1. to consult
2. to discuss seriously
3. to negotiate
4. to confer
5. negotiations
6. consultations
",11
1488,社会,shè huì,"1. society
2. CL:個|个[ge4]
",44
1489,祝福,zhù fú,"1. blessings
2. to wish sb well
",42
1490,祝贺,zhù hè,"1. to congratulate
2. congratulations
3. CL:個|个[ge4]
",44
1491,神仙,shén xiān,"1. Daoist immortal
2. supernatural entity
3. (in modern fiction) fairy, elf, leprechaun etc
4. fig. lighthearted person
",21
1492,神秘,shén mì,"1. mysterious
2. mystery
",24
1493,神话,shén huà,"1. legend
2. fairy tale
3. myth
4. mythology
",24
1494,离婚,lí hūn,"1. to divorce
2. divorced from (one's spouse)
",21
1495,私人,sī rén,"1. private
2. personal
3. interpersonal
4. sb with whom one has a close personal relationship
5. a member of one's clique
",12
1496,种类,zhǒng lèi,"1. kind
2. genus
3. type
4. category
5. variety
6. species
7. sort
8. class
",34
1497,秘书,mì shū,"1. secretary
",41
1498,秘密,mì mì,"1. secret
2. CL:個|个[ge4]
",44
1499,租,zū,"1. to hire
2. to rent
3. to charter
4. to rent out
5. to lease out
6. rent
7. land tax
",1
1500,秤,chèng,"1. variant of 稱|称[cheng1], to weigh
2. steelyard
3. Roman balance
4. CL:臺|台[tai2]
",4
1501,秩序,zhì xù,"1. order (orderly)
2. order (sequence)
3. social order
4. the state (of society)
5. CL:個|个[ge4]
",44
